id;programa;semestre;edad;horas_estudio;horas_trabajo;promedio;transporte_min;satisfaccion
1;Sistemas;7;21;12,5;0;4,1;45;4
2;Sistemas;7;22;8,0;20;3,6;90;3
3;Industrial;6;20;15,0;0;4,4;30;5
4;Sistemas;8;24;6,5;30;3,2;120;2
5;Electrónica;7;21;10,0;10;3,9;60;4
6;Sistemas;7;;9,5;15;3,8;75;3
7;Industrial;6;19;14,0;0;4,5;25;5
8;sistemas;8;23;7,0;25;3,4;100;2
9;Sistemas;7;20;11,0;N/A;4,0;50;4
10;Electrónica;9;25;5,5;40;3,1;110;2
11;Sistemas;7;22;13,0;0;4.2;40;4
12;Industrial;6;20;16,0;0;4,6;20;5
13;Sistemas;8;-99;8,5;20;3,7;80;3
14;Sistemas ;7;21;10,5;10;4,0;55;4
15;Electrónica;7;22;9,0;15;3,8;70;3
16;Sistemas;8;23;6,0;30;3,3;95;2
17;Industrial;6;19;15,5;0;4,7;15;5
18;Sistemas;7;21;12,0;5;4,1;45;4
19;Sistemas;9;26;4,5;45;2,9;130;1
20;Electrónica;7;20;11,5;0;4,2;35;5
21;Sistemas;8;22;NA;20;3,6;85;3
22;Industrial;6;20;14,5;0;4,4;28;5
23;Sistemas;7;21;10,0;sin dato;3,9;65;4
24;Sistemas;8;24;7,5;25;3,5;105;
18;Sistemas;7;21;12,0;5;4,1;45;4
